ip_host,snmp,mac-address,hostname
172.16.1.183,,04:d9:f5:08:38:9c,ws93.rud.ua
172.16.1.184,SNMPv2-MIB::sysDescr.0 = KYOCERA Document Solutions Printing System,00:17:c8:32:2b:d2,KM322BD2
172.16.1.185,,,
172.16.1.186,,,
172.16.1.187,,84:a9:3e:a3:21:ef,ws75.rud.ua
172.16.1.188,,70:8b:cd:59:5b:1b,ws91.rud.ua
172.16.1.189,,,allinone2.rud.ua
172.16.1.190,,a0:e0:af:be:e1:c8,
172.16.1.191,,,
172.16.1.192,SNMPv2-MIB::sysDescr.0 = KYOCERA Document Solutions Printing System,00:17:c8:34:79:85,
172.16.1.193,,b0:6e:bf:35:15:47,ws40.rud.ua
172.16.1.194,,,
172.16.1.195,,,ws40-xp.rud.ua
172.16.1.196,,18:31:bf:24:47:6f,ws47.rud.ua
172.16.1.197,,6a:77:00:82:20:9e,
172.16.1.198,,00:0c:29:ed:f0:8e,OKIP
172.16.1.199,,,
172.16.1.200,,,
172.16.1.201,,00:07:68:07:26:36,
172.16.1.202,,,
172.16.1.203,,,
172.16.1.204,,,
172.16.1.205,,,asrv.rud.ua
172.16.1.206,,00:0c:29:2a:7b:f8,wsrv.rud.ua
172.16.1.207,,,
172.16.1.208,,00:0c:29:0d:a5:ed,askvprod.rud.ua
172.16.1.209,,a8:5e:45:15:50:48,ws89.rud.ua
172.16.1.210,,,
172.16.1.211,,,
172.16.1.212,,,navdb2.rud.ua
172.16.1.213,,,it3.rud.ua
172.16.1.214,,,
172.16.1.215,,4c:ed:fb:73:4d:89,ws131.rud.ua
172.16.1.216,,90:2b:34:6f:19:f4,ws52.rud.ua
172.16.1.217,,,
172.16.1.218,,e4:1e:0a:00:52:9e,
172.16.1.219,,e4:1e:0a:00:1e:d5,
172.16.1.220,,08:00:27:1b:dc:38,medoc.rud.ua
172.16.1.221,,,
